PLOT,REPLICATE,YEAR,TOTN,TOTP,TOTK,TOTS,TOTCa,TOTMg
20,3,1983,1.29,0.17,0.58,0.18,1.17,
20,3,1985,0.98,0.13,0.4,0.09,0.77,
20,3,1990,0.71,0.11,0.33,0.08,0.77,0.12
25,4,1981,1.5,0.13,0.59,0.11,0.74,0.11
25,4,1982,1.5,0.14,0.66,0.14,0.82,0.11
25,4,1983,1.18,0.14,0.52,0.12,0.94,
25,4,1985,1.13,0.15,0.5,0.1,0.58,
25,4,1990,0.71,0.09,0.31,0.08,0.74,0.11
10,1,1981,1.45,0.19,0.54,0.11,0.97,0.12
10,1,1982,1.35,0.25,0.45,0.13,1.14,0.12
10,1,1983,1.23,0.23,0.55,0.16,1.06,
10,1,1985,1.15,0.2,0.48,0.1,0.64,
10,1,1990,0.8,0.13,0.34,0.09,0.77,0.13
19,2,1981,1.5,0.2,0.52,0.11,0.93,0.14
19,2,1982,1.48,0.25,0.49,0.16,1.09,0.12
19,2,1983,1.28,0.25,0.63,0.16,0.8,
19,2,1985,1,0.16,0.45,0.09,0.71,
19,2,1990,0.71,0.1,0.29,0.09,0.77,0.11
21,3,1981,1.63,0.2,0.53,0.11,1,0.12
21,3,1982,1.38,0.26,0.52,0.15,0.96,0.12
21,3,1983,1.25,0.24,0.61,0.14,0.94,
21,3,1985,0.9,0.16,0.39,0.09,0.81,
21,3,1990,0.71,0.12,0.32,0.08,0.69,0.12
28,4,1981,1.7,0.21,0.64,0.12,0.79,0.11
28,4,1982,1.65,0.29,0.62,0.17,0.92,0.12
28,4,1983,1.2,0.19,0.45,0.14,1.06,
28,4,1985,1.18,0.21,0.56,0.1,0.52,
28,4,1990,0.88,0.14,0.41,0.09,0.63,0.1
4,1,1981,1.4,0.2,0.59,0.11,0.97,0.11
4,1,1982,1.4,0.29,0.73,0.13,0.93,0.12
4,1,1983,1.22,0.27,0.79,0.14,0.63,
4,1,1985,0.93,0.17,0.5,0.09,0.6,
4,1,1990,0.81,0.12,0.36,0.09,0.7,0.11
12,2,1981,1.58,0.21,0.58,0.11,1.01,0.12
12,2,1982,1.48,0.27,0.73,0.16,0.96,0.13
12,2,1983,1.22,0.24,0.76,0.15,0.74,
12,2,1985,1.05,0.21,0.6,0.1,0.5,
12,2,1990,0.83,0.13,0.32,0.09,0.62,0.12
15,3,1981,1.58,0.2,0.57,0.12,0.94,0.11
15,3,1982,1.4,0.28,0.67,0.15,1.01,0.12
15,3,1983,1.12,0.23,0.64,0.15,1.02,
15,3,1985,1.1,0.17,0.52,0.1,0.55,
15,3,1990,0.73,0.11,0.32,0.08,0.7,0.1
23,4,1981,1.63,0.2,0.7,0.11,0.81,0.13
23,4,1982,1.48,0.27,0.73,0.15,0.95,0.12
23,4,1983,1.08,0.21,0.64,0.12,0.97,
23,4,1985,1.08,0.19,0.53,0.09,0.53,
23,4,1990,0.77,0.11,0.3,0.09,0.72,0.11
